City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
288,Morant Bay,JM,82.02,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
289,Srivardhan,IN,78.01,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
290,Pochutla,MX,82.22,clear sky,15.7432,-96.4661,Hotel Posada San Jose
291,Cockburn Town,TC,76.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
293,Sokoni,TZ,80.01,broken clouds,-6.4333,39.55,Ujamaa Beach Resort
298,Varkkallai,IN,76.78,scattered clouds,8.7341,76.7067,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
306,Sal Rei,CV,77.56,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
309,Mumford,GH,79.9,light rain,5.2618,-0.759,Spanish Villa
313,General Roca,AR,79.2,overcast clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
316,Mitsamiouli,KM,79.12,few clouds,-11.3847,43.2844,Foyer ADM
330,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Poutur Pousada
332,Edgewater,US,75.58,overcast clouds,28.9889,-80.9023,Islander Beach Resort
333,Puerto Quijarro,BO,78.24,overcast clouds,-17.7833,-57.7667,Hotel palance
338,Kavaratti,IN,80.56,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
340,Sabang,ID,80.94,overcast clouds,5.8933,95.3214,Hotel Citra
342,La Palma,US,81.48,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
352,Bandarbeyla,SO,76.35,clear sky,9.4942,50.8122,JABIR HOTEL
353,Dhidhdhoo,MV,81.12,overcast clouds,6.8833,73.1,Dhidhoo beach
354,Sur,OM,76.01,broken clouds,22.5667,59.5289,Sur Plaza Hotel
360,Ormara,PK,75.15,scattered clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
365,Neuquen,AR,78.69,clear sky,-38.9516,-68.0591,Hotel del Comahue
368,Dingle,PH,83.64,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
379,Lamu,KE,80.82,few clouds,-2.2717,40.902,Lamu House
380,Champerico,GT,83.35,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
392,Syriam,MM,80.71,few clouds,16.7722,96.2378,Excel River View
414,Parana,AR,77.52,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
420,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
435,Port Blair,IN,82.69,clear sky,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
439,Praia,CV,77.54,clear sky,14.9215,-23.5087,LT Aparthotel
443,Totness,SR,78.94,light rain,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
449,Villa Altagracia,DO,76.55,scattered clouds,18.673,-70.171,La Maison de AAVA
464,Savannah Bight,HN,80.01,clear sky,16.45,-85.85,Villa on Dunbar Rock
466,Bombay,IN,78.78,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
475,Quixada,BR,79.5,overcast clouds,-4.9714,-39.0153,Hotel Vale das Pedras
478,Araci,BR,75.02,scattered clouds,-11.3333,-38.9667,Pousada Posto Rodagem II
482,Coruripe,BR,77.77,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
486,Acajutla,SV,80.08,overcast clouds,13.5928,-89.8275,asi es
487,Kilindoni,TZ,80.29,overcast clouds,-7.9139,39.6668,Bustani B&B
490,Niamey,NE,79.09,clear sky,13.5137,2.1098,Soluxe Hotel Niamey
491,San Pedro,PH,86.11,scattered clouds,14.35,121.0167,Villa Veronica Resort Private Pool
497,Ketou,BJ,76.06,scattered clouds,7.3633,2.5998,Residences Celine Hotel Ketou
499,Kismayo,SO,78.66,broken clouds,-0.3582,42.5454,Agan-Hotel
502,Yenagoa,NG,76.37,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
506,Itarema,BR,79.57,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
513,Ruy Barbosa,BR,75.06,overcast clouds,-12.2839,-40.4939,Flats em Ruy Barbosa - BA
526,Santa Marta,CO,84.25,scattered clouds,11.2408,-74.199,Casa de Isabella
530,Guayaramerin,BO,76.1,overcast clouds,-10.8368,-65.3614,Hostal Funf
531,Labrea,BR,76.01,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
535,Lampang,TH,77.86,few clouds,18.3333,99.5,Mrs Luis Guest House
541,Kalmunai,LK,75.31,overcast clouds,7.4167,81.8167,VS Villa
545,Aquiraz,BR,81.18,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
546,Trincomalee,LK,75.97,overcast clouds,8.5711,81.2335,Welcombe Hotel
551,Harper,LR,78.64,broken clouds,4.375,-7.7169,Screensaver
555,Kathor,IN,78.6,overcast clouds,21.3,72.9333,HOTEL PEARL
558,Brokopondo,SR,77.74,scattered clouds,4.75,-55.1667,Matu Island
572,Grand-Lahou,CI,79.3,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
574,Sharjah,AE,78.26,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
585,Ballina,AU,77.04,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
591,Batticaloa,LK,75.36,overcast clouds,7.7102,81.6924,Grand Star Guest House
595,Tete,MZ,78.26,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
602,Puerto El Triunfo,SV,85.12,few clouds,13.2833,-88.55,Hotel Jardin
603,Bubaque,GW,82.63,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
606,Sao Jose Da Coroa Grande,BR,78.48,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
612,Marialva,BR,75.83,broken clouds,-23.485,-51.7917,Hotel Vinhedo
613,Yanam,IN,77.4,overcast clouds,16.7333,82.2167,The Regency Hotel
620,Santa Fe,AR,80.01,light rain,-31.6333,-60.7,Conquistador Hotel
625,Bonthe,SL,79.11,clear sky,7.5264,-12.505,Bonthe Holiday Village
626,Mercedes,AR,82.85,clear sky,-34.6515,-59.4307,Posada del Inti Centro
630,Jalingo,NG,77.88,overcast clouds,8.8833,11.3667,Debright Motel
633,Mogadishu,SO,78.31,overcast clouds,2.0371,45.3438,Hotel Juba
637,Bida,NG,77.72,scattered clouds,9.0833,6.0167,Royal Suite
639,Paracuru,BR,81.1,few clouds,-3.41,-39.0306,Hotel Vento Brasil
646,Diamantino,BR,75.09,overcast clouds,-14.4086,-56.4461,Hotel Delta
647,Port-Gentil,GA,79.47,light rain,-0.7193,8.7815,Fengshui Residence
650,Moratuwa,LK,75.22,overcast clouds,6.773,79.8816,Sa Mansion By Yoho
651,Mahibadhoo,MV,81.36,few clouds,3.7833,72.9667,Omadhoo Inn
653,Oriximina,BR,75.78,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
656,Bonoua,CI,82.02,light rain,5.2741,-3.595,Hotel Bon Samaritian
665,Pedro Ii,BR,77.74,overcast clouds,-4.4247,-41.4586,Opala Hotel
669,Thiruvananthapuram,IN,76.98,mist,8.4833,76.9167,Hotel Residency Tower
670,Sao Joao Do Piaui,BR,83.75,overcast clouds,-8.3581,-42.2467,Nayra Palace Hotel
674,San Rafael,AR,80.51,clear sky,-34.6177,-68.3301,Hotel San Rafael
683,Aransas Pass,US,77.0,clear sky,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
688,Rockport,US,77.02,clear sky,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
690,Lujan,AR,83.03,clear sky,-34.5703,-59.105,Hotel Biarritz
694,Kumo,NG,76.69,overcast clouds,10.0447,11.2122,Ajegunle Lodge(corpers Lodge)
697,Abakaliki,NG,76.98,overcast clouds,6.3163,8.1169,Grande Vitesse Apartments and Hotels
702,Mannarakkat,IN,76.55,few clouds,10.9833,76.4667,The Park Residency
