City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
409,Skjervoy,NO,70.0311,20.9714,30.42,63,62,14.97,broken clouds
410,Maragua,KE,-0.7833,37.1333,63.84,94,84,3.04,broken clouds
411,Maragheh,IR,37.3917,46.2398,46.65,61,94,3.96,overcast clouds
412,Cascais,PT,38.6979,-9.4215,57.51,76,6,8.01,clear sky
413,Mto Wa Mbu,TZ,-3.35,35.85,69.08,76,67,4.56,broken clouds
414,Parana,AR,-31.732,-60.5238,77.52,30,0,7.87,clear sky
415,Cartagena Del Chaira,CO,1.3349,-74.8429,73.13,96,87,0.98,overcast clouds
416,Alghero,IT,40.5589,8.3181,53.69,94,20,3.44,light rain
417,Baykit,RU,61.67,96.37,3.49,98,100,2.98,overcast clouds
418,Marfino,RU,55.7028,37.3822,33.94,87,75,6.71,broken clouds
419,Kananga,CD,-5.8958,22.4178,67.24,99,100,2.55,light rain
420,Olinda,BR,-8.0089,-34.8553,82.13,74,40,5.75,scattered clouds
421,Kouroussa,GN,10.65,-9.8833,72.19,37,0,2.17,clear sky
422,Tocache,PE,-8.1842,-76.5125,71.37,94,100,1.07,light rain
423,Lovosice,CZ,50.515,14.051,44.78,99,100,20.0,overcast clouds
424,Kasempa,ZM,-13.4584,25.8338,62.92,98,100,1.95,light rain
425,Bousso,TD,10.4795,16.7117,76.95,23,100,4.74,overcast clouds
426,Chicama,PE,-7.8447,-79.1469,61.34,82,67,5.39,broken clouds
427,Bay Roberts,CA,47.5999,-53.2648,31.03,59,94,3.83,overcast clouds
428,Verkhniye Kigi,RU,55.4083,58.6044,24.49,88,100,18.07,overcast clouds
429,Muisne,EC,0.6,-80.0333,74.34,81,100,8.95,overcast clouds
430,Mungaa,TZ,-4.9667,34.8833,62.83,58,94,7.34,overcast clouds
431,Lyuban,BY,52.7985,28.0048,39.54,73,100,10.54,overcast clouds
432,Bayan,CN,46.0833,127.4,16.09,93,100,12.75,light snow
433,Husavik,IS,66.0449,-17.3389,44.51,79,65,11.77,broken clouds
434,Koslan,RU,63.4564,48.8989,20.5,98,100,1.88,light snow
435,Port Blair,IN,11.6667,92.75,82.69,80,10,10.13,clear sky
436,Balvi,LV,57.1313,27.2658,28.51,73,7,9.22,clear sky
437,Vysotskoye,RU,45.025,42.9064,40.37,92,21,5.68,few clouds
438,Lakhdenpokhya,RU,61.5198,30.1992,25.83,67,71,14.32,broken clouds
439,Praia,CV,14.9215,-23.5087,77.54,73,0,19.57,clear sky
440,Saint Anthony,US,45.0205,-93.218,26.55,54,1,4.0,clear sky
441,Port-Cartier,CA,50.0334,-66.8654,32.76,70,100,4.27,overcast clouds
442,Khairpur Nathan Shah,PK,27.0936,67.7337,65.39,21,0,5.14,clear sky
443,Totness,SR,5.8833,-56.3167,78.94,84,14,9.55,light rain
444,Senigallia,IT,43.7093,13.2167,55.87,60,100,5.75,overcast clouds
445,Tevriz,RU,57.509,72.4042,20.23,87,100,9.19,overcast clouds
446,Draguignan,FR,43.5333,6.4667,52.38,97,90,2.3,fog
447,Karpathos,GR,35.507,27.2132,58.96,72,0,3.44,clear sky
448,Jati,PK,24.3539,68.2671,70.21,16,10,11.12,clear sky
449,Villa Altagracia,DO,18.673,-70.171,76.55,85,38,3.87,scattered clouds
450,Ochakiv,UA,46.6128,31.5498,42.94,91,8,13.76,clear sky
451,Leshukonskoye,RU,64.8989,45.7622,20.82,96,100,3.91,light snow
452,La Brea,HN,15.8,-85.9667,73.56,91,4,1.32,clear sky
453,Kefalos,GR,36.7453,26.9589,61.02,59,0,3.44,clear sky
454,Teknaf,BD,20.8624,92.3058,71.69,64,3,3.8,clear sky
455,Methoni,GR,36.8197,21.7049,57.22,73,66,3.4,broken clouds
456,Fatehabad,IN,29.5167,75.45,58.69,24,0,4.83,clear sky
457,Luderitz,NA,-26.6481,15.1594,58.86,83,22,9.35,few clouds
458,Narsaq,GL,60.9167,-46.05,34.02,98,97,3.56,overcast clouds
459,Ghanzi,BW,-21.5667,21.7833,70.88,71,30,10.78,scattered clouds
460,Arona,ES,28.0996,-16.681,67.69,82,20,3.44,few clouds
461,Hamilton,US,39.1834,-84.5333,46.24,95,90,1.99,mist
462,Kuryk,KZ,43.2,51.65,48.99,76,5,10.29,clear sky
463,Goure,NE,13.9835,10.2704,80.02,21,0,5.95,clear sky
464,Savannah Bight,HN,16.45,-85.85,80.01,75,6,9.35,clear sky
465,Usinsk,RU,65.9939,57.5281,5.7,91,95,8.97,overcast clouds
466,Bombay,IN,19.0144,72.8479,78.78,94,75,0.0,haze
