City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,Altay,CN,2021-11-21 01:00:50,47.8667,88.1167,11.59,57,1,7.43
88,Yaval,IN,2021-11-21 01:00:51,21.1667,75.7,73.36,66,94,7.83
89,Tezu,IN,2021-11-21 01:00:38,27.9167,96.1667,64.78,49,72,2.26
90,Vihti,FI,2021-11-21 01:00:51,60.417,24.3197,36.52,92,44,4.0
91,Ginda,IN,2021-11-21 01:00:51,30.6945,78.4932,45.73,23,0,8.21
92,Khromtau,KZ,2021-11-21 01:01:51,50.2503,58.4347,21.94,84,100,17.27
93,Plettenberg Bay,ZA,2021-11-21 01:01:52,-34.0527,23.3716,59.38,83,56,8.05
94,Koslan,RU,2021-11-21 01:01:52,63.4564,48.8989,23.29,97,100,3.76
95,Cidreira,BR,2021-11-21 00:59:32,-30.1811,-50.2056,65.71,74,0,15.88
96,Antalaha,MG,2021-11-21 01:01:52,-14.9003,50.2788,70.48,90,25,4.99
97,Black River,JM,2021-11-21 01:01:52,18.0264,-77.8487,76.98,77,96,2.48
98,Carnarvon,AU,2021-11-21 01:01:53,-24.8667,113.6333,72.01,72,100,11.25
99,Olean,US,2021-11-21 01:01:53,42.0776,-78.4297,39.88,63,100,8.93
100,The Valley,AI,2021-11-21 01:01:53,18.217,-63.0578,78.82,70,98,16.17
101,Shwebo,MM,2021-11-21 01:01:53,22.5667,95.7,70.32,84,1,2.17
102,Svetlogorsk,BY,2021-11-21 01:01:54,52.6333,29.7333,39.16,95,100,5.46
103,Katsina,NG,2021-11-21 01:01:54,12.9894,7.6006,74.48,22,5,8.9
104,Lebanon,US,2021-11-21 00:58:46,36.2081,-86.2911,51.46,60,20,0.0
105,Kirksville,US,2021-11-21 01:01:54,40.1948,-92.5833,50.13,52,40,3.44
106,Mehamn,NO,2021-11-21 01:01:55,71.0357,27.8492,27.99,67,100,23.35
107,Dabat,ET,2021-11-21 01:01:55,12.9842,37.765,50.0,72,0,3.85
108,La Asuncion,VE,2021-11-21 01:01:55,11.0333,-63.8628,78.19,86,80,11.68
109,Geraldton,AU,2021-11-21 00:57:03,-28.7667,114.6,73.13,68,75,13.8
110,Surenavan,AM,2021-11-21 01:01:55,39.75,44.8,38.01,50,100,4.65
111,Praia,CV,2021-11-21 01:01:56,14.9215,-23.5087,77.54,83,75,11.5
112,Jamestown,US,2021-11-21 00:58:49,42.097,-79.2353,41.72,36,100,1.99
113,Ballina,AU,2021-11-21 01:01:56,-28.8667,153.5667,71.64,79,100,5.01
114,Torit,SS,2021-11-21 01:01:56,4.4133,32.5678,76.46,56,73,2.37
115,Bengkulu,ID,2021-11-21 00:58:14,-3.8004,102.2655,79.29,77,100,2.57
116,Sabang,ID,2021-11-21 01:01:56,5.8933,95.3214,81.37,77,100,16.53
117,Ladario,BR,2021-11-21 01:01:57,-19.0047,-57.6017,76.78,73,4,2.77
118,Saquena,PE,2021-11-21 01:01:57,-4.6667,-73.5167,73.58,97,98,1.14
119,Manono,CD,2021-11-21 01:01:57,-7.3,27.4167,65.08,95,90,2.17
120,Rawson,AR,2021-11-21 01:01:57,-43.3002,-65.1023,70.2,41,100,25.61
121,Sur,OM,2021-11-21 01:01:58,22.5667,59.5289,73.42,59,0,8.95
122,Clyde River,CA,2021-11-21 01:01:58,70.4692,-68.5914,-0.26,96,93,4.45
123,Caledon,ZA,2021-11-21 01:01:59,-34.23,19.4265,60.17,75,100,15.95
124,Westport,US,2021-11-21 01:01:59,41.1415,-73.3579,47.75,68,1,11.99
125,Bandarbeyla,SO,2021-11-21 01:01:59,9.4942,50.8122,75.06,77,98,5.39
126,Requena,ES,2021-11-21 01:01:59,39.4883,-1.1004,50.13,93,100,0.36
127,Cacapava Do Sul,BR,2021-11-21 01:02:00,-30.5122,-53.4914,60.71,59,0,1.77
128,General Roca,AR,2021-11-21 01:02:00,-39.0333,-67.5833,81.63,15,0,14.07
129,Kavaratti,IN,2021-11-21 01:02:00,10.5669,72.642,80.58,79,76,14.43
130,Martil,MA,2021-11-21 01:02:00,35.6166,-5.2752,62.67,74,33,6.08
131,Nantucket,US,2021-11-21 00:58:37,41.2835,-70.0995,44.01,75,100,9.17
132,Elizabeth City,US,2021-11-21 01:02:01,36.2946,-76.2511,53.98,87,100,4.25
133,Cabedelo,BR,2021-11-21 01:02:01,-6.9811,-34.8339,79.52,73,99,12.33
134,Abu Samrah,SY,2021-11-21 01:02:01,35.3029,37.1841,54.23,86,100,10.65
135,Bambous Virieux,MU,2021-11-21 01:02:05,-20.3428,57.7575,76.21,72,1,5.88
136,Labrea,BR,2021-11-21 01:02:05,-7.2586,-64.7981,73.78,94,100,1.59
137,Ambilobe,MG,2021-11-21 01:02:06,-13.2,49.05,71.71,85,14,4.03
138,Iskateley,RU,2021-11-21 01:02:06,67.6803,53.1512,19.2,96,96,8.48
139,Caravelas,BR,2021-11-21 01:02:06,-17.7125,-39.2481,74.62,94,100,1.52
140,Lagoa,PT,2021-11-21 01:03:06,39.05,-27.9833,64.4,76,100,26.08
141,Manakara,MG,2021-11-21 01:03:07,-22.1333,48.0167,71.08,94,68,5.44
